Title,Company,Location,Source,Primary Domain,Subdomain,Base Match %,Domain Boost %,Final Match %,Apply Link
"Senior Frontend Developer (React.js, Next.js, TypeScript)",Clover Infotech,"Mumbai, Maharashtra, India",LinkedIn,Javascript Fullstack,Frontend,55.96,50.0,100.0,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=wcC2-5wtqXOS6Mh6AAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_yWNsQrCQBBEsc0nWG2pEhMRbLRUFIWIqL1sLmty4bw9bleJP-e3GbEZpnjzJvkMktOFvOUI28heyVewoRc5DhRhdCY0mrWSwpG6f7m-A11MtEHHMIUDlyCE0TTAHnbMtaPhqlENssxzEZfVoqjWZIYfOXsquctbLuUXN2kwUnCodJsvZl0WfD2Zrh2_-u-9v7NS77UeiuejRJtCgf0ApdGIaQ9UFr_UswGWwQAAAA&shmds=v1_AdeF8KgKkPHLxnwTIt4trWhNNJG7kkY6UAizOB8v3QINr9VE-A&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=wcC2-5wtqXOS6Mh6AAAAAA%3D%3D
Frontend Developer - React.js/Next.js | [IF-538],SSJ Solutions,"Mumbai, Maharashtra, India",Jobrapido.com,Javascript Fullstack,Frontend,50.65,50.0,100.0,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=GPWHeMciI0n3KQpjAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xWKwQqCQBBA6eondJpzpRuFEHWNIsEOeYyIUQdd2XZkZwwP_VU_mF3eO7wXfWfR-RTYK_kajvQmxz0FiOFGWGnSibnS-Dd84H45xel295hqxiUIYahaYA9n5sbR_NCq9rI3RsQljSiqrZKKX4Y9lTyajkv54yktBuodKj036XpMet8slkWRQcFuUMtewHrIh1eJdgU5TjtKqwFXcPG1xR9lyhCZtgAAAA&shmds=v1_AdeF8KgaUEiUUdLRA0vNZ8BMhDoer7egL9SvcJLfnuHw8wkgBg&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=GPWHeMciI0n3KQpjAAAAAA%3D%3D
Job Title: React and Next.js Developer,e-Stone Information Technology,"Mumbai, Maharashtra, India",Glassdoor,Javascript Fullstack,Frontend,59.82,50.0,100.0,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=mDcMgcxrpHPAXrAMAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMuwrCQBCFYWzzCFZTS0xEsPHSCaIQC00fJuuY3bDZCTujxFfz6VybU33_yb6z7HDhFmqnnrZwIzQKGB5wpUmLXuBIb_I8UoQl_KEQRmOBA5yYO0_znVUdZVuWIr7oRFGdKQwPJQdqeSp7buU_jViMNHpUatab1VSMoVvsaXnXBOEcnhyH1KbjmowN7Ln7gAtQvYYWXQ4Vph7FasQ88YfDH99q6e-9AAAA&shmds=v1_AdeF8KhSTqioTWCnXiVg4WPvwO1hBwZvH90e6BY2LgQHUs9X7g&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=mDcMgcxrpHPAXrAMAAAAAA%3D%3D
[BFJ366] Frontend Developer (Next JS),PluginLive,"Mumbai, Maharashtra, India",Jobrapido.com,Javascript Fullstack,Frontend,60.64,50.0,100.0,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=bv0HPo2EAJPF1PJWAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXKsQrCMBAAUFz7CU43VqmNKHZQJ5GKRUVwFCmX9mgiaa4kaekP-Z_q8qYXfSbR_nnIi3WWvSB3bAPZGo40kOGOHMQ3GgMUjxksoGAJntBVCtjCibkxNN2pEDq_FcJ7kzY-YNBVWnEr2JLkUbxZ-j-lV-ioMxioXG2WY9rZZh7fTd9oe9EDgbZw7VuJOoEr_i56FRwmcLa1xi-gHeJ0qAAAAA&shmds=v1_AdeF8Kg5TgrGW_MuM1Zak6mxqYh9kexYm9W-0tHlkKFLcLWW1g&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=bv0HPo2EAJPF1PJWAAAAAA%3D%3D
Full Stack Next.js Developer at Toolyt,Toolyt,"Mumbai, Maharashtra, India",LinkedIn,Javascript Fullstack,Frontend,60.82,50.0,100.0,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=LIgxwxl_Zm4QZ_EtAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_y3MsQrCMBCAYVz7CE43OElNRHBR3ERRqIvu5VqPNjXNhdxV6uv4pCq4_NPHn70n2e4weA9XxfoBFxrVdAJ7epLnSAlQ4cbsXwoLOHMFQpjqFjjAkbnxNN22qlE21op404iiutrU3FsOVPFoO67kl1JaTBQ9KpWr9XI0MTTz2f_tAhRDX6HLocCvQ2k1YQ6ncHf4Af3aiwGlAAAA&shmds=v1_AdeF8Kis_BeLV08U2H567dq0LVcCnfj2gxVycJMUi-aR4ADhww&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=LIgxwxl_Zm4QZ_EtAAAAAA%3D%3D
Developer- React JS - Offshore,confidential,"Mumbai, Maharashtra, India",Jooble,Javascript Fullstack,Frontend,52.26,50.0,100.0,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=Bxzd2Ku43W3actJtAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXKQQrCMBBAUdz2CK5mXdpGhG50K4iFIugByiSdNpE0EzJRehyPat183uIX313RXuhDniOlGh6EJkP3hBru0ySWE23sWIMQJmOBA1yZZ0_7s805ykkpEd_MkjE70xheFAfSvKoXa_lnEIuJosdMw7E9rE0Mc1kaDpMbKWSHHlyA_r1odBX0uN0oNies4BZGhz8GQPCUowAAAA&shmds=v1_AdeF8KgF1cfa-I094I_SrnJswGqrCPJ742lUTR7FbdzzOgSt7w&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=Bxzd2Ku43W3actJtAAAAAA%3D%3D
Junior Frontend Developer - React/Next.js (1-2 yrs exp),BOMBAYDC,"Mumbai, Maharashtra, India",LinkedIn,Javascript Fullstack,Frontend,49.17,50.0,99.17,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=qnGf27t45jDWLHHHAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXKwQ7BQBCA4bj2EZzmJEjbReLCCQ0hKYmbk0xr0m5TO5udqdSDeT9c_sv3R59BdD51znKAfWCn5B6Q0Yta9hQggSthqeZMvaaNwHieLOAdBKj3k5-euAAhDGUN7ODAXLU0XNeqXlbGiLRpJYpqy7Tkp2FHBfem4UL-uUuNgXyLSvfFctan3lXT0faSbze3bAfWQd49C7Qx5Pg7UWoNGMPRPSx-AdtHc864AAAA&shmds=v1_AdeF8KiBVt23SrPXeLApe8kz28oZbKiCP_Ot913Ruz_dq2DG6g&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=qnGf27t45jDWLHHHAAAAAA%3D%3D
Lead Frontend Developer React/js/Next/js,Guardian Life Insurance Company,"Mumbai, Maharashtra, India",GrabJobs,Javascript Fullstack,Frontend,44.35,50.0,94.35,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=HPx9lqyQrCwi8Pw3AAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xWMMQrCQBBFsfUIVlNLzIpgo4iFoihq4QXCZDMmGzYzy85G4uG8m7H5r3nvT7-T6f5GWMEpCifiCo70Ji-BIjwJbTKtmgcNf8ICrlKCEkbbgDCcRWpPs22TUtCNMao-rzVhcja30hlhKmUwrZT6n0IbjBQ8JipW6-WQB67nu3OPsXLIcHMvggtrH5EtwUG6gPwBx3DvuxJdBnccD1CbFDEbzbH6AXgAcuDAAAAA&shmds=v1_AdeF8KhUoGoJSY4qqwJw0T5ar0DKcoBut_dOjISYl5Qjoxw9uA&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=HPx9lqyQrCwi8Pw3AAAAAA%3D%3D
Frontend | Javascript | React.js,confidential,"Mumbai, Maharashtra, India",Jooble,Javascript Fullstack,Frontend,44.05,50.0,94.05,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=LiiDFGmYDb3_P0BjAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXKwQqCQBCAYbr6CJ3mLLZGEEHdiwQvvYCM66Qr64zsTOGhp-lJs8sPH_zZd5OdrknYiDv4QIVvVJ_CbCsehN7cqLCDSlpQwuQHEIabSB9pexnMZj2XpWp0vRpa8M7LVApTK0s5Sqv_NDpgojmiUXM47hc3c5_nXvgZOmILGCEw1K-pxVBAjeuNOljCAu7cBfwBHaEasKUAAAA&shmds=v1_AdeF8Khp51gNPLzHbKyvLLbtejT7oct1ghaYIMZ0qynEAi5Oxw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=LiiDFGmYDb3_P0BjAAAAAA%3D%3D
Next JS Developer,Fynd,"Mumbai, Maharashtra, India",Glassdoor,Javascript Fullstack,Frontend,39.11,50.0,89.11,https://www.google.com/search?ibp=htl;jobs&q=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=OXLdnxvIghg6rJ58AAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXKsQrCMBAAUFz7CU6Hk0htRHCxqygW6uIHlEt7NJE0F3Kn1G_wp9XlTa_4LIr1jWaF5g4nelHgRBm20LAFIcy9A45wYR4DLWunmuRojEioRlFU31c9T4YjWZ7Ng6386cRhphRQqdsfdnOV4rhZnd9xAB-hfU4WfQkt_haK04wlXOPg8QvzsJ8PjgAAAA&shmds=v1_AdeF8KiHnsKkPo5je8Q5cAexCrfiRkIhBl2cNIGbIDf0FU2UeQ&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Frontend+Developer+react+next.js+Mumbai+jobs&htidocid=OXLdnxvIghg6rJ58AAAAAA%3D%3D
